loc,name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
530,velocity,1.5,org.apache.velocity.texen.Generator,25,1,0,7,78,194,2,5,17,0.878787879,0.727272727,3,0,0.261904762,0,0,19.76,3,1.04,0
77,velocity,1.5,org.apache.velocity.util.ArrayIterator,4,1,0,1,16,0,1,0,4,0.444444444,1,0,0,0.625,0,0,17.5,2,1.25,0
32,velocity,1.5,org.apache.velocity.anakia.AnakiaJDOMFactory,5,2,0,5,10,10,1,4,5,2,0,0,0.862068966,0.666666667,0,0,5.4,1,0.8,0
298,velocity,1.5,org.apache.velocity.app.tools.VelocityFormatter,18,1,0,3,36,133,2,3,18,0.764705882,0,1,0,0.333333333,0,0,15.5,4,1.3889,0
776,velocity,1.5,org.apache.velocity.anakia.AnakiaTask,15,4,0,22,89,51,1,22,11,0.826530612,0.857142857,1,0.847826087,0.373333333,2,2,49.8,5,1.4667,0
0,velocity,1.5,org.apache.velocity.context.InternalContextAdapter,0,1,0,61,0,0,58,4,0,2,0,0,0,0,0,0,0,0,0,0
17,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTWord,3,2,0,5,6,3,4,3,3,2,0,0,0.965517241,0.533333333,0,0,4.666666667,1,0.3333,0
41,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTText,5,2,0,9,13,8,4,7,5,0.75,1,0,0.903225806,0.4,0,0,7,1,0.6,0
5,velocity,1.5,org.apache.velocity.runtime.resource.ResourceManager,3,1,0,6,3,3,2,4,3,1.5,0,0,0,0.583333333,0,0,0,1,1,0
39,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTNotNode,5,2,0,8,10,10,4,6,5,2,0,0,0.903225806,0.4,1,2,6.8,1,0.6,0
45,velocity,1.5,org.apache.velocity.anakia.XPathCache,3,1,0,4,8,1,3,1,0,0.5,1,0,0,0.5,0,0,13.66666667,2,0.6667,0
10,velocity,1.5,org.apache.velocity.runtime.log.Log4JLogSystem,2,2,0,2,4,1,0,2,2,2,0,0,0.888888889,0.666666667,0,0,4,1,0.5,0
4,velocity,1.5,org.apache.velocity.util.introspection.VelMethod,4,1,0,4,4,6,4,0,4,2,0,0,0,0.5,0,0,0,1,1,0
470,velocity,1.5,org.apache.velocity.convert.WebMacro,10,1,0,3,40,39,0,3,4,0.962962963,1,0,0,0.388888889,0,0,45.7,8,2.3,0
37,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTEscape,5,2,0,6,11,8,4,4,5,0.875,0.5,0,0.903225806,0.4,0,0,6,1,0.6,0
3,velocity,1.5,org.apache.velocity.util.introspection.VelPropertyGet,3,1,0,4,3,3,4,0,3,2,0,0,0,0.666666667,0,0,0,1,1,0
17,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTIncludeStatement,3,2,0,3,6,3,0,3,3,2,0,0,0.965517241,0.533333333,0,0,4.666666667,1,0.3333,0
17,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTAssignment,3,2,0,5,6,3,4,3,3,2,0,0,0.965517241,0.533333333,0,0,4.666666667,1,0.3333,0
37,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTBlock,4,2,0,10,10,6,4,8,4,2,0,0,0.933333333,0.392857143,1,1,8.25,1,0.5,0
32,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTElseIfStatement,5,2,0,10,11,10,4,8,5,2,0,0,0.903225806,0.371428571,1,2,5.4,1,0.6,0
10,velocity,1.5,org.apache.velocity.runtime.log.AvalonLogSystem,2,2,0,2,4,1,0,2,2,2,0,0,0.888888889,0.666666667,0,0,4,1,0.5,0
7,velocity,1.5,org.apache.velocity.runtime.log.LogSystem,2,1,0,8,2,1,7,1,2,2,0,0,0,0.625,0,0,0,1,1,0
50,velocity,1.5,org.apache.velocity.texen.util.FileUtil,4,1,0,0,12,6,0,0,4,2,0,0,0,0.5,0,0,11.5,2,1,0
145,velocity,1.5,org.apache.velocity.texen.util.PropertiesUtil,4,1,0,1,25,6,0,1,2,2,0,0,0,0.875,0,0,35.25,2,1,0
28,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTEscapedDirective,4,2,0,7,10,6,4,5,4,2,0,0,0.933333333,0.392857143,0,0,6,1,0.5,0
86,velocity,1.5,org.apache.velocity.VelocityContext,10,3,0,8,20,3,6,2,10,0.555555556,1,0,0.793103448,0.38,1,4,7.4,1,0.6,0
565,velocity,1.5,org.apache.velocity.texen.ant.TexenTask,22,3,0,12,84,177,0,12,20,0.928571429,1,0,0.637931034,0.309090909,1,1,24.13636364,5,1.1364,0
18,velocity,1.5,org.apache.velocity.runtime.log.PrimordialLogSystem,3,2,0,4,7,3,0,4,3,2,0,0,0.714285714,0.5,0,0,5,1,0.6667,0
2,velocity,1.5,org.apache.velocity.util.introspection.UberspectLoggable,2,1,0,4,2,1,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
19,velocity,1.5,org.apache.velocity.runtime.directive.InputBase,2,2,2,6,6,1,2,4,1,2,0,0,0.875,0.75,0,0,8.5,2,1,0
20,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTElseStatement,4,2,0,6,7,6,4,4,4,2,0,0,0.933333333,0.416666667,0,0,4,1,0.5,0
28,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTTrue,6,2,0,6,9,13,4,4,5,0.8,1,0,0.903225806,0.4,0,0,3.5,1,0.5,0
12,velocity,1.5,org.apache.velocity.runtime.parser.CharStream,12,1,0,3,12,66,3,0,12,2,0,0,0,0.583333333,0,0,0,1,1,0
23,velocity,1.5,org.apache.velocity.runtime.parser.Token,3,1,0,24,4,3,24,0,3,1.4375,0,2,0,0.5,0,0,4,2,1,0
0,velocity,1.5,org.apache.velocity.app.event.EventHandler,0,1,0,16,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0
4,velocity,1.5,org.apache.velocity.runtime.RuntimeLogger,4,1,0,8,4,6,8,0,4,2,0,0,0,1,0,0,0,1,1,0
417,velocity,1.5,org.apache.velocity.servlet.VelocityServlet,18,3,0,10,62,149,0,10,6,1.019607843,0.444444444,1,0.6,0.338235294,1,2,21.66666667,5,1.1111,0
6,velocity,1.5,org.apache.velocity.runtime.log.NullLogSystem,2,2,0,2,3,1,0,2,2,2,0,0,0.8,0.666666667,0,0,2,1,0.5,0
31,velocity,1.5,org.apache.velocity.runtime.directive.Literal,5,2,0,5,10,8,0,5,5,0.75,0,0,0.636363636,0.44,0,0,5,1,0.8,0
103,velocity,1.5,org.apache.velocity.util.SimplePool,5,1,0,2,6,0,2,0,4,0.416666667,1,0,0,0.466666667,0,0,19,3,1.4,0
41,velocity,1.5,org.apache.velocity.anakia.TreeWalker,3,1,0,3,11,3,1,2,2,2,0,0,0,0.666666667,0,0,12.66666667,2,1,0
34,velocity,1.5,org.apache.velocity.anakia.XPathTool,4,1,0,6,10,6,1,5,4,2,0,0,0,0.5,0,0,7.5,1,0.75,0
23,velocity,1.5,org.apache.velocity.util.EnumerationIterator,4,1,0,1,7,0,1,0,4,0.333333333,1,0,0,0.625,0,0,4.5,1,0.75,0
52,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTOrNode,5,2,0,8,11,10,4,6,5,2,0,0,0.903225806,0.4,1,1,9.4,1,0.6,0
2,velocity,1.5,org.apache.velocity.runtime.directive.DirectiveConstants,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
388,velocity,1.5,org.apache.velocity.runtime.parser.ParseException,5,3,2,16,18,0,15,1,4,0.666666667,0.5,1,0.866666667,0.4,1,1,75.4,14,4.8,0
20,velocity,1.5,org.apache.velocity.runtime.resource.ResourceFactory,2,1,0,4,5,1,1,3,2,2,0,0,0,0.5,0,0,9,4,2,0
17,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTParameters,3,2,0,3,6,3,0,3,3,2,0,0,0.965517241,0.533333333,0,0,4.666666667,1,0.3333,0
3,velocity,1.5,org.apache.velocity.context.InternalWrapperContext,3,1,0,2,3,3,1,2,3,2,0,0,0,0.555555556,0,0,0,1,1,0
6,velocity,1.5,org.apache.velocity.util.introspection.IntrospectionCacheData,1,1,0,7,2,0,7,0,1,2,0,0,0,1,0,0,3,0,0,0
73,velocity,1.5,org.apache.velocity.runtime.parser.node.ASTComment,6,2,0,9,15,11,3,8,5,0.8,1,0,0.903225806,0.4,0,0,10.83333333,4,1,0
